 1.000000000000E-02 -7.000000002908E+02  9.177306845293E+02 -1.617730684820E+03
 5.300000000000E-01 -7.008067712919E+02  9.725703230741E+02 -1.673377094366E+03
 5.400000000000E-01 -7.008011067988E+02  9.701426268999E+02 -1.670943733699E+03
 5.500000000000E-01 -7.007995309364E+02  9.681094357741E+02 -1.668908966711E+03
 5.600000000000E-01 -7.008066959962E+02  9.723709210282E+02 -1.673177617024E+03
 5.700000000000E-01 -7.008200529306E+02  9.829743539355E+02 -1.683794406866E+03
 5.800000000000E-01 -7.008218761250E+02  9.931401626330E+02 -1.693962038758E+03
 5.900000000000E-01 -7.008195688281E+02  9.974252423211E+02 -1.698244811149E+03
 6.000000000000E-01 -7.008164663705E+02  9.958887887286E+02 -1.696705255099E+03
 6.100000000000E-01 -7.008195247670E+02  9.926464647238E+02 -1.693465989491E+03
 6.200000000000E-01 -7.008195458000E+02  9.899209088063E+02 -1.690740454606E+03
 6.300000000000E-01 -7.008123993792E+02  9.854188157890E+02 -1.686231215168E+03
 6.400000000000E-01 -7.008198159702E+02  9.768727486664E+02 -1.677692564637E+03
 6.500000000000E-01 -7.008169616551E+02  9.663010553505E+02 -1.667118017006E+03
 6.600000000000E-01 -7.008235999999E+02  9.598116232185E+02 -1.660635223218E+03
 6.700000000000E-01 -7.008254321276E+02  9.600255509219E+02 -1.660850983050E+03
 6.800000000000E-01 -7.008233947580E+02  9.622050660002E+02 -1.663028460758E+03
 6.900000000000E-01 -7.008287405942E+02  9.644461851991E+02 -1.665274925793E+03
 7.000000000000E-01 -7.008246414264E+02  9.695603854047E+02 -1.670385026831E+03
 7.100000000000E-01 -7.008157035635E+02  9.772736137632E+02 -1.678089317327E+03
 7.200000000000E-01 -7.008144341599E+02  9.837837779857E+02 -1.684598212146E+03
 7.300000000000E-01 -7.008272210098E+02  9.868899319780E+02 -1.687717152988E+03
 7.400000000000E-01 -7.008213135020E+02  9.879294563878E+02 -1.688750769890E+03
 7.500000000000E-01 -7.008228536059E+02  9.895169145763E+02 -1.690339768182E+03
 7.600000000000E-01 -7.008256995592E+02  9.913093158397E+02 -1.692135015399E+03
 7.700000000000E-01 -7.008264801271E+02  9.898470254135E+02 -1.690673505541E+03
 7.800000000000E-01 -7.008272356024E+02  9.841971772754E+02 -1.685024412878E+03
 7.900000000000E-01 -7.008228765919E+02  9.766067876572E+02 -1.677429664249E+03
 8.000000000000E-01 -7.008215783868E+02  9.692936661464E+02 -1.670115244533E+03
 8.100000000000E-01 -7.008077535646E+02  9.650011900463E+02 -1.665808943611E+03
 8.200000000000E-01 -7.008021316824E+02  9.641112508306E+02 -1.664913382513E+03
 8.300000000000E-01 -7.008041740992E+02  9.654006713993E+02 -1.666204845498E+03
 8.400000000000E-01 -7.008085331342E+02  9.687493686971E+02 -1.669557901831E+03
 8.500000000000E-01 -7.008223629987E+02  9.725448292590E+02 -1.673367192258E+03
 8.600000000000E-01 -7.008325833801E+02  9.755056658911E+02 -1.676338249271E+03
 8.700000000000E-01 -7.008346239970E+02  9.793312096913E+02 -1.680165833688E+03
 8.800000000000E-01 -7.008261949791E+02  9.844428924023E+02 -1.685269087381E+03
 8.900000000000E-01 -7.008244138821E+02  9.883305301583E+02 -1.689154944040E+03
 9.000000000000E-01 -7.008308056398E+02  9.894810156543E+02 -1.690311821294E+03
 9.100000000000E-01 -7.008277279798E+02  9.889219217906E+02 -1.689749649770E+03
 9.200000000000E-01 -7.008267023112E+02  9.878498096169E+02 -1.688676511928E+03
 9.300000000000E-01 -7.008179949444E+02  9.868443673700E+02 -1.687662362314E+03
 9.400000000000E-01 -7.008215795617E+02  9.866055965027E+02 -1.687427176064E+03
 9.500000000000E-01 -7.008218406722E+02  9.872241700372E+02 -1.688046010709E+03
 9.600000000000E-01 -7.008256717252E+02  9.882450915511E+02 -1.689070763276E+03
 9.700000000000E-01 -7.008282252747E+02  9.906003496593E+02 -1.691428574934E+03
 9.800000000000E-01 -7.008269639508E+02  9.946615310884E+02 -1.695488495039E+03
 9.900000000000E-01 -7.008290339027E+02  9.977533363092E+02 -1.698582370212E+03
 1.000000000000E+00 -7.008362061462E+02  9.966628796050E+02 -1.697499085751E+03
 1.010000000000E+00 -7.008407879244E+02  9.910032177485E+02 -1.691844005673E+03
 1.020000000000E+00 -7.008474240591E+02  9.844438042459E+02 -1.685291228305E+03
 1.030000000000E+00 -7.008481882208E+02  9.801852222290E+02 -1.681033410450E+03
 1.040000000000E+00 -7.008466450840E+02  9.793419875561E+02 -1.680188632640E+03
 1.050000000000E+00 -7.008420525417E+02  9.825599158107E+02 -1.683401968352E+03
 1.060000000000E+00 -7.008497652707E+02  9.873558234425E+02 -1.688205588713E+03
 1.070000000000E+00 -7.008495278063E+02  9.889148755545E+02 -1.689764403361E+03
 1.080000000000E+00 -7.008469642924E+02  9.845174251761E+02 -1.685364389469E+03
 1.090000000000E+00 -7.008515874629E+02  9.744752804744E+02 -1.675326867937E+03
 1.100000000000E+00 -7.008595191495E+02  9.582513295566E+02 -1.659110848706E+03
 1.110000000000E+00 -7.008596605473E+02  9.401756768160E+02 -1.641035337363E+03
 1.120000000000E+00 -7.008552843718E+02  9.370055826521E+02 -1.637860867024E+03
 1.130000000000E+00 -7.008541111930E+02  9.521721175976E+02 -1.653026228791E+03
 1.140000000000E+00 -7.008521104760E+02  9.702964286829E+02 -1.671148539159E+03
 1.150000000000E+00 -7.008577382646E+02  9.815397626115E+02 -1.682397500876E+03
 1.160000000000E+00 -7.008630862989E+02  9.844110687944E+02 -1.685274155093E+03
 1.170000000000E+00 -7.008597316601E+02  9.818353049836E+02 -1.682695036644E+03
 1.180000000000E+00 -7.008566336426E+02  9.775482527731E+02 -1.678404886416E+03
 1.190000000000E+00 -7.008584126197E+02  9.753381393281E+02 -1.676196551948E+03
 1.200000000000E+00 -7.008543429235E+02  9.769389624394E+02 -1.677793305363E+03
 1.210000000000E+00 -7.008641002752E+02  9.793074523568E+02 -1.680171552632E+03
 1.220000000000E+00 -7.008587303089E+02  9.788185740467E+02 -1.679677304356E+03
 1.230000000000E+00 -7.008571844277E+02  9.750150784751E+02 -1.675872262903E+03
 1.240000000000E+00 -7.008486889163E+02  9.707335617549E+02 -1.671582250671E+03
 1.250000000000E+00 -7.008451161724E+02  9.719717997075E+02 -1.672816915880E+03
 1.260000000000E+00 -7.008428420127E+02  9.775094522432E+02 -1.678352294256E+03
 1.270000000000E+00 -7.008343931450E+02  9.828291178836E+02 -1.683663511029E+03
 1.280000000000E+00 -7.008356592362E+02  9.872926619843E+02 -1.688128321220E+03
 1.290000000000E+00 -7.008313075592E+02  9.921651794209E+02 -1.692996486980E+03
 1.300000000000E+00 -7.008195597006E+02  9.965616590990E+02 -1.697381218800E+03
 1.310000000000E+00 -7.008141734995E+02  9.967512676807E+02 -1.697565441180E+03
 1.320000000000E+00 -7.008113234963E+02  9.938307008085E+02 -1.694642024305E+03
 1.330000000000E+00 -7.008059617600E+02  9.920037257942E+02 -1.692809687554E+03
 1.340000000000E+00 -7.008059920271E+02  9.899313904895E+02 -1.690737382517E+03
 1.350000000000E+00 -7.008057297062E+02  9.839306928598E+02 -1.684736422566E+03
 1.360000000000E+00 -7.008113297154E+02  9.750661843944E+02 -1.675877514110E+03
 1.370000000000E+00 -7.008179698265E+02  9.679296762033E+02 -1.668747646030E+03
 1.380000000000E+00 -7.008161797293E+02  9.652494789875E+02 -1.666065658717E+03
 1.390000000000E+00 -7.008179861703E+02  9.668167135659E+02 -1.667634699736E+03
 1.400000000000E+00 -7.008197989490E+02  9.703159084310E+02 -1.671135707380E+03
 1.410000000000E+00 -7.008246655677E+02  9.728566381030E+02 -1.673681303671E+03
 1.420000000000E+00 -7.008300348354E+02  9.739039777246E+02 -1.674734012560E+03
 1.430000000000E+00 -7.008269713975E+02  9.742798771978E+02 -1.675106848595E+03
 1.440000000000E+00 -7.008323526598E+02  9.732570150830E+02 -1.674089367743E+03
 1.450000000000E+00 -7.008402656562E+02  9.707980493063E+02 -1.671638314963E+03
 1.460000000000E+00 -7.008356569021E+02  9.698656232402E+02 -1.670701280142E+03
 1.470000000000E+00 -7.008410601802E+02  9.707184787414E+02 -1.671559538922E+03
 1.480000000000E+00 -7.008374925157E+02  9.699472812079E+02 -1.670784773724E+03
 1.490000000000E+00 -7.008397739311E+02  9.660162096642E+02 -1.666855983595E+03
 1.500000000000E+00 -7.008318104976E+02  9.625449833093E+02 -1.663376793807E+03
 1.510000000000E+00 -7.008423017771E+02  9.638376310673E+02 -1.664679932844E+03
 1.520000000000E+00 -7.008466515460E+02  9.708082180721E+02 -1.671654869618E+03
 1.530000000000E+00 -7.008528144687E+02  9.826317985482E+02 -1.683484613017E+03
 1.540000000000E+00 -7.008584777124E+02  9.952068459965E+02 -1.696065323709E+03
 1.550000000000E+00 -7.008618172455E+02  1.002795689262E+03 -1.703657506508E+03
 1.560000000000E+00 -7.008679517854E+02  1.002489825719E+03 -1.703357777505E+03
 1.570000000000E+00 -7.008663954666E+02  9.951186915654E+02 -1.695985087032E+03
 1.580000000000E+00 -7.008678935809E+02  9.840310960437E+02 -1.684898989625E+03
 1.590000000000E+00 -7.008596731958E+02  9.750531253627E+02 -1.675912798559E+03
 1.600000000000E+00 -7.008558456514E+02  9.725098093215E+02 -1.673365654973E+03
 1.610000000000E+00 -7.008592024223E+02  9.752019222439E+02 -1.676061124666E+03
 1.620000000000E+00 -7.008512843308E+02  9.792750090243E+02 -1.680126293355E+03
 1.630000000000E+00 -7.008612558673E+02  9.826226965495E+02 -1.683483952417E+03
 1.640000000000E+00 -7.008550956304E+02  9.869207759190E+02 -1.687775871549E+03
 1.650000000000E+00 -7.008592004702E+02  9.942364856562E+02 -1.695095686126E+03
 1.660000000000E+00 -7.008492396506E+02  1.003145321504E+03 -1.703994561155E+03
 1.670000000000E+00 -7.008515780299E+02  1.009658832622E+03 -1.710510410652E+03
 1.680000000000E+00 -7.008549263080E+02  1.008447599891E+03 -1.709302526199E+03
 1.690000000000E+00 -7.008474825575E+02  9.968343432386E+02 -1.697681825796E+03
 1.700000000000E+00 -7.008438471721E+02  9.785680032029E+02 -1.679411850375E+03
 1.710000000000E+00 -7.008409904270E+02  9.623117858877E+02 -1.663152776315E+03
 1.720000000000E+00 -7.008422702713E+02  9.553649659682E+02 -1.656207236239E+03
 1.730000000000E+00 -7.008343728816E+02  9.586714515873E+02 -1.659505824469E+03
 1.740000000000E+00 -7.008236672057E+02  9.669793337999E+02 -1.667803001006E+03
 1.750000000000E+00 -7.008326468930E+02  9.733910699880E+02 -1.674223716881E+03
 1.760000000000E+00 -7.008351978034E+02  9.742545020033E+02 -1.675089699807E+03
 1.770000000000E+00 -7.008272334536E+02  9.705731938809E+02 -1.671400427335E+03
 1.780000000000E+00 -7.008336110928E+02  9.665006896064E+02 -1.667334300699E+03
 1.790000000000E+00 -7.008338711255E+02  9.652308421426E+02 -1.666064713268E+03
 1.800000000000E+00 -7.008366971766E+02  9.664223034092E+02 -1.667259000586E+03
 1.810000000000E+00 -7.008328450888E+02  9.685742717912E+02 -1.669407116880E+03
 1.820000000000E+00 -7.008412705917E+02  9.727977205330E+02 -1.673638991125E+03
 1.830000000000E+00 -7.008387159096E+02  9.811506137274E+02 -1.681989329637E+03
 1.840000000000E+00 -7.008313263998E+02  9.919638186824E+02 -1.692795145082E+03
 1.850000000000E+00 -7.008280186635E+02  9.998758588568E+02 -1.700703877520E+03
 1.860000000000E+00 -7.008241693583E+02  1.001473739015E+03 -1.702297908373E+03
 1.870000000000E+00 -7.008259549351E+02  9.973682037308E+02 -1.698194158666E+03
 1.880000000000E+00 -7.008228837265E+02  9.885379223789E+02 -1.689360806105E+03
 1.890000000000E+00 -7.008269598000E+02  9.757974496681E+02 -1.676624409468E+03
 1.900000000000E+00 -7.008371733436E+02  9.625605350042E+02 -1.663397708348E+03
 1.910000000000E+00 -7.008438219463E+02  9.528846678849E+02 -1.653728489831E+03
 1.920000000000E+00 -7.008407492350E+02  9.484672417144E+02 -1.649307990949E+03
 1.930000000000E+00 -7.008440864535E+02  9.494701076575E+02 -1.650314194111E+03
 1.940000000000E+00 -7.008515232623E+02  9.545574526400E+02 -1.655408975902E+03
 1.950000000000E+00 -7.008525664857E+02  9.613809055169E+02 -1.662233472003E+03
 1.960000000000E+00 -7.008428586616E+02  9.667555921002E+02 -1.667598450762E+03
 1.970000000000E+00 -7.008459312330E+02  9.677099529705E+02 -1.668555884204E+03
 1.980000000000E+00 -7.008415580224E+02  9.641256871136E+02 -1.664967245136E+03
 1.990000000000E+00 -7.008435784371E+02  9.593316990038E+02 -1.660175277441E+03
 2.000000000000E+00 -7.008456134718E+02  9.577569419104E+02 -1.658602555382E+03
 2.010000000000E+00 -7.008412701590E+02  9.616522471119E+02 -1.662493517271E+03
 2.020000000000E+00 -7.008512804104E+02  9.699386368747E+02 -1.670789917285E+03
 2.030000000000E+00 -7.008472092393E+02  9.785964782215E+02 -1.679443687461E+03
 2.040000000000E+00 -7.008389976240E+02  9.841788609638E+02 -1.685017858588E+03
 2.050000000000E+00 -7.008387231607E+02  9.885034122154E+02 -1.689342135376E+03
 2.060000000000E+00 -7.008384815176E+02  9.933175878028E+02 -1.694156069320E+03
 2.070000000000E+00 -7.008441168482E+02  9.966395444824E+02 -1.697483661331E+03
 2.080000000000E+00 -7.008382069300E+02  9.977998714285E+02 -1.698638078358E+03
 2.090000000000E+00 -7.008340819205E+02  1.000040185963E+03 -1.700874267883E+03
 2.100000000000E+00 -7.008323182763E+02  1.006531854571E+03 -1.707364172847E+03
 2.110000000000E+00 -7.008318386684E+02  1.013337648841E+03 -1.714169487509E+03
 2.120000000000E+00 -7.008221177721E+02  1.015194336942E+03 -1.716016454714E+03
 2.130000000000E+00 -7.008218480683E+02  1.010907826335E+03 -1.711729674403E+03
 2.140000000000E+00 -7.008243894772E+02  1.002915820775E+03 -1.703740210252E+03
 2.150000000000E+00 -7.008295055892E+02  9.947357522626E+02 -1.695565257852E+03
 2.160000000000E+00 -7.008318149585E+02  9.882356704223E+02 -1.689067485381E+03
 2.170000000000E+00 -7.008405444761E+02  9.835020535160E+02 -1.684342597992E+03
 2.180000000000E+00 -7.008431189089E+02  9.780539018965E+02 -1.678897020805E+03
 2.190000000000E+00 -7.008492487355E+02  9.709900215410E+02 -1.671839270276E+03
 2.200000000000E+00 -7.008426108228E+02  9.649229632884E+02 -1.665765574111E+03
 2.210000000000E+00 -7.008507851512E+02  9.598045122213E+02 -1.660655297372E+03
 2.220000000000E+00 -7.008489782767E+02  9.600006881226E+02 -1.660849666399E+03
 2.230000000000E+00 -7.008377919331E+02  9.652960493664E+02 -1.666133841300E+03
 2.240000000000E+00 -7.008454304072E+02  9.645601325704E+02 -1.665405562978E+03
 2.250000000000E+00 -7.008466660293E+02  9.599819041261E+02 -1.660828570155E+03
 2.260000000000E+00 -7.008453658220E+02  9.571816755956E+02 -1.658027041418E+03
 2.270000000000E+00 -7.008481754101E+02  9.591672716764E+02 -1.660015447087E+03
 2.280000000000E+00 -7.008486920139E+02  9.667704077296E+02 -1.667619099743E+03
 2.290000000000E+00 -7.008461486458E+02  9.788772084454E+02 -1.679723357091E+03
 2.300000000000E+00 -7.008482214148E+02  9.923293047239E+02 -1.693177526139E+03
 2.310000000000E+00 -7.008505436377E+02  1.002706244515E+03 -1.703556788152E+03
 2.320000000000E+00 -7.008617897892E+02  1.007070572512E+03 -1.707932362302E+03
 2.330000000000E+00 -7.008520444723E+02  1.007089486206E+03 -1.707941530678E+03
 2.340000000000E+00 -7.008494945381E+02  1.004934233802E+03 -1.705783728340E+03
 2.350000000000E+00 -7.008500040635E+02  9.999643751274E+02 -1.700814379191E+03
 2.360000000000E+00 -7.008461422311E+02  9.931342106478E+02 -1.693980352879E+03
 2.370000000000E+00 -7.008384590911E+02  9.874897417672E+02 -1.688328200858E+03
 2.380000000000E+00 -7.008358989389E+02  9.838875299602E+02 -1.684723428899E+03
 2.390000000000E+00 -7.008338562252E+02  9.821735849492E+02 -1.683007441174E+03
 2.400000000000E+00 -7.008351552864E+02  9.812843751973E+02 -1.682119530484E+03
 2.410000000000E+00 -7.008346588347E+02  9.785941033812E+02 -1.679428762216E+03
 2.420000000000E+00 -7.008300391300E+02  9.725016887660E+02 -1.673331727896E+03
 2.430000000000E+00 -7.008243837695E+02  9.652552395939E+02 -1.666079623363E+03
 2.440000000000E+00 -7.008297490846E+02  9.607079295178E+02 -1.661537678602E+03
 2.450000000000E+00 -7.008266759614E+02  9.609610589458E+02 -1.661787734907E+03
 2.460000000000E+00 -7.008330981480E+02  9.659305754260E+02 -1.666763673574E+03
 2.470000000000E+00 -7.008400323081E+02  9.725485376272E+02 -1.673388569935E+03
 2.480000000000E+00 -7.008374846143E+02  9.773214582186E+02 -1.678158942833E+03
 2.490000000000E+00 -7.008338784706E+02  9.788468633447E+02 -1.679680741815E+03
 2.500000000000E+00 -7.008305279455E+02  9.801361854367E+02 -1.680966713382E+03
 2.510000000000E+00 -7.008277346998E+02  9.837571314981E+02 -1.684584866198E+03
 2.520000000000E+00 -7.008351773382E+02  9.864598911196E+02 -1.687295068458E+03
 2.530000000000E+00 -7.008346413069E+02  9.854260646349E+02 -1.686260705942E+03
 2.540000000000E+00 -7.008282122910E+02  9.833135471674E+02 -1.684141759458E+03
 2.550000000000E+00 -7.008274445348E+02  9.836805424392E+02 -1.684507986974E+03
 2.560000000000E+00 -7.008266726113E+02  9.867143148774E+02 -1.687540987489E+03
 2.570000000000E+00 -7.008320389979E+02  9.926251521555E+02 -1.693457191153E+03
 2.580000000000E+00 -7.008228493290E+02  1.001612457867E+03 -1.702435307196E+03
 2.590000000000E+00 -7.008295411387E+02  1.009324693459E+03 -1.710154234597E+03
 2.600000000000E+00 -7.008300438030E+02  1.010305743524E+03 -1.711135787327E+03
 2.610000000000E+00 -7.008284749208E+02  1.005304860699E+03 -1.706133335620E+03
 2.620000000000E+00 -7.008179743336E+02  9.988501421875E+02 -1.699668116521E+03
 2.630000000000E+00 -7.008179875597E+02  9.926200153472E+02 -1.693438002907E+03
 2.640000000000E+00 -7.008313009644E+02  9.860347220145E+02 -1.686866022979E+03
 2.650000000000E+00 -7.008325510008E+02  9.802244650165E+02 -1.681057016017E+03
 2.660000000000E+00 -7.008284541485E+02  9.801606973143E+02 -1.680989151463E+03
 2.670000000000E+00 -7.008274952732E+02  9.852462212885E+02 -1.686073716562E+03
 2.680000000000E+00 -7.008333623441E+02  9.872054075049E+02 -1.688038769849E+03
 2.690000000000E+00 -7.008520172468E+02  9.868708268838E+02 -1.687722844131E+03
 2.700000000000E+00 -7.008525407418E+02  9.877661292645E+02 -1.688618670006E+03
 2.710000000000E+00 -7.008510293870E+02  9.883961502816E+02 -1.689247179669E+03
 2.720000000000E+00 -7.008582019752E+02  9.854653563884E+02 -1.686323558364E+03
 2.730000000000E+00 -7.008579300924E+02  9.784279285053E+02 -1.679285858598E+03
 2.740000000000E+00 -7.008574005619E+02  9.698563610318E+02 -1.670713761594E+03
 2.750000000000E+00 -7.008494611748E+02  9.628936150820E+02 -1.663743076257E+03
 2.760000000000E+00 -7.008509949320E+02  9.590307687641E+02 -1.659881763696E+03
 2.770000000000E+00 -7.008578913343E+02  9.594009330570E+02 -1.660258824391E+03
 2.780000000000E+00 -7.008515003430E+02  9.658466805507E+02 -1.666698180894E+03
 2.790000000000E+00 -7.008520379568E+02  9.767970064294E+02 -1.677649044386E+03
 2.800000000000E+00 -7.008507752025E+02  9.878883184769E+02 -1.688739093679E+03
 2.810000000000E+00 -7.008487271949E+02  9.957762668129E+02 -1.696624994008E+03
 2.820000000000E+00 -7.008418015542E+02  9.998174438545E+02 -1.700659245409E+03
 2.830000000000E+00 -7.008489640665E+02  1.001453463905E+03 -1.702302427971E+03
 2.840000000000E+00 -7.008535754089E+02  1.001382407838E+03 -1.702235983247E+03
 2.850000000000E+00 -7.008597161138E+02  9.995803012463E+02 -1.700440017360E+03
 2.860000000000E+00 -7.008502390515E+02  9.969720946907E+02 -1.697822333742E+03
 2.870000000000E+00 -7.008448616607E+02  9.948429457455E+02 -1.695687807406E+03
 2.880000000000E+00 -7.008440900527E+02  9.939350585043E+02 -1.694779148557E+03
 2.890000000000E+00 -7.008425648081E+02  9.946943876037E+02 -1.695536952412E+03
 2.900000000000E+00 -7.008510335428E+02  9.955673572872E+02 -1.696418390830E+03
 2.910000000000E+00 -7.008420720611E+02  9.939819282107E+02 -1.694824000272E+03
 2.920000000000E+00 -7.008379513181E+02  9.905633449147E+02 -1.691401296233E+03
 2.930000000000E+00 -7.008266652732E+02  9.890623504144E+02 -1.689889015688E+03
 2.940000000000E+00 -7.008330681903E+02  9.928052018136E+02 -1.693638270004E+03
 2.950000000000E+00 -7.008310555854E+02  1.001199134384E+03 -1.702030189969E+03
 2.960000000000E+00 -7.008254617679E+02  1.009009563702E+03 -1.709835025470E+03
 2.970000000000E+00 -7.008244388176E+02  1.010738514166E+03 -1.711562952983E+03
 2.980000000000E+00 -7.008180054318E+02  1.006249581822E+03 -1.707067587254E+03
 2.990000000000E+00 -7.008169515850E+02  1.000419843677E+03 -1.701236795262E+03
 3.000000000000E+00 -7.008126078855E+02  9.975742641912E+02 -1.698386872077E+03
 3.010000000000E+00 -7.008113446197E+02  9.968852032493E+02 -1.697696547869E+03
 3.020000000000E+00 -7.008190185131E+02  9.959124578157E+02 -1.696731476329E+03
 3.030000000000E+00 -7.008156886943E+02  9.947105022576E+02 -1.695526190952E+03
 3.040000000000E+00 -7.008192862103E+02  9.932420817511E+02 -1.694061367961E+03
 3.050000000000E+00 -7.008208341061E+02  9.897456953543E+02 -1.690566529460E+03
 3.060000000000E+00 -7.008187669896E+02  9.830604659962E+02 -1.683879232986E+03
 3.070000000000E+00 -7.008189866074E+02  9.762318969002E+02 -1.677050883508E+03
 3.080000000000E+00 -7.008169437632E+02  9.742935070638E+02 -1.675110450827E+03
 3.090000000000E+00 -7.008162171038E+02  9.770359733584E+02 -1.677852190462E+03
 3.100000000000E+00 -7.008257003131E+02  9.796063391382E+02 -1.680432039451E+03
 3.110000000000E+00 -7.008302845779E+02  9.808554813965E+02 -1.681685765974E+03
 3.120000000000E+00 -7.008256856125E+02  9.836474719122E+02 -1.684473157525E+03
 3.130000000000E+00 -7.008295603804E+02  9.865900294602E+02 -1.687419589841E+03
 3.140000000000E+00 -7.008351917778E+02  9.848586845555E+02 -1.685693876333E+03
 3.150000000000E+00 -7.008469374095E+02  9.781880549788E+02 -1.679034992388E+03
 3.160000000000E+00 -7.008510029767E+02  9.709311632943E+02 -1.671782166271E+03
 3.170000000000E+00 -7.008653293030E+02  9.678108251652E+02 -1.668676154468E+03
 3.180000000000E+00 -7.008622741652E+02  9.702734687781E+02 -1.671135742943E+03
 3.190000000000E+00 -7.008686946666E+02  9.758465746851E+02 -1.676715269352E+03
 3.200000000000E+00 -7.008635836935E+02  9.812934506253E+02 -1.682157034319E+03
 3.210000000000E+00 -7.008669136053E+02  9.848303334107E+02 -1.685697247016E+03
 3.220000000000E+00 -7.008546176034E+02  9.861568677937E+02 -1.687011485397E+03
 3.230000000000E+00 -7.008525454152E+02  9.867608194308E+02 -1.687613364846E+03
 3.240000000000E+00 -7.008574244130E+02  9.891715254219E+02 -1.690028949835E+03
